Word,Label,POS Tags
['Username'],o,"[('[', 'JJ'), (""'Username"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['Comment'],o,"[('[', 'JJ'), (""'Comment"", 'NN'), (""'"", 'POS'), (']', 'NN')]"
['Text'],o,"[('[', 'JJ'), (""'Text"", 'POS'), (""'"", 'POS'), (']', 'NN')]"
['a134_purv'],o,"[('[', 'JJ'), (""'a134_purv"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nakshatra_101'],per,"[('[', 'JJ'), (""'nakshatra_101"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['aj'],o,"[('[', 'JJ'), (""'aj"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['kal'],o,"[('[', 'JJ'), (""'kal"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['kuch'],o,"[('[', 'RB'), (""'kuch"", 'JJ'), (""'"", ""''""), (']', 'NN')]"
['strong'],o,"[('[', 'RB'), (""'strong"", 'POS'), (""'"", ""''""), (']', 'NN')]"
['hai'],o,"[('[', 'JJ'), (""'hai"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['brohh'],o,"[('[', 'JJ'), (""'brohh"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['cdo_naveen14'],o,"[('[', 'JJ'), (""'cdo_naveen14"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nkx0'],o,"[('[', 'JJ'), (""'nkx0"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['_'],o,"[('[', 'NN'), (""'"", ""''""), ('_', 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['bro'],o,"[('[', 'JJ'), (""'bro"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['nhi'],o,"[('[', 'JJ'), (""'nhi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
['tutegi'],o,"[('[', 'JJ'), (""'tutegi"", 'NNP'), (""'"", 'POS'), (']', 'NN')]"
